nom,ref,marque,modele,categorie,co2,nb_km,carburant,boite_vitesse,couleur,nb_portes,nb_places,mise_circulation,conso_mixte,p_fiscale,p_din,critair,prix
Renault scenic 3,Réf. pro : 120245 | réf. annonce : e106531159,Renault,Scenic 3,Monospace,C,164697.0,Diesel,Manuelle,Gris,5.0,5.0,2010,4.9,6.0,106,3.0,6130
Renault clio 4,Réf. pro : 50 | réf. annonce : w101726585,Renault,Clio 4,Citadine,B,21830.0,Diesel,Manuelle,Gris foncé metal,5.0,5.0,2019,4,5.0,90,2.0,15220
Renault clio 4,Réf. pro : 59 | réf. annonce : w101726537,Renault,Clio 4,Citadine,A,62966.0,Diesel,Manuelle,Blanc verni,5.0,5.0,2017,3,4.0,90,2.0,12300
Renault kadjar,Réf. pro : 65 | réf. annonce : w101728160,Renault,Kadjar,Suv 4x4,B,12.0,Diesel,Auto,Bleu metal,5.0,5.0,2020,4.3,6.0,115,2.0,26700
Renault megane 3,Réf. pro : 105 | réf. annonce : w101746629,Renault,Megane 3,Berline,B,95646.0,Diesel,Manuelle,Blanc verni,5.0,5.0,2015,4,5.0,95,2.0,9840
Renault megane 3,Réf. pro : 69 | réf. annonce : w101728356,Renault,Megane 3,Berline,B,93429.0,Diesel,Auto,Gris foncé metal,5.0,5.0,2015,4,6.0,110,2.0,12480
Renault kadjar,Réf. pro : 49 | réf. annonce : w101726450,Renault,Kadjar,Suv 4x4,A,72392.0,Diesel,Auto,Noir metal,5.0,5.0,2017,3,5.0,110,2.0,16890
Renault megane 4,Réf. pro : 47 | réf. annonce : w101726188,Renault,Megane 4,Berline,A,90000.0,Diesel,Auto,Rouge metal,5.0,5.0,2019,3,5.0,110,2.0,19180
Renault captur,Réf. pro : 117813 | réf. annonce : e106272744,Renault,Captur,Suv 4x4,A,30397.0,Diesel,Manuelle,Noir,5.0,5.0,2019,3.7,5.0,110,2.0,15800
Renault espace 5,Réf. annonce : w101734338,Renault,Espace 5,Monospace,B,23180.0,Diesel,Auto,Gris metal,5.0,7.0,2016,4,8.0,161,2.0,24700
Renault megane 4,Réf. pro : 84 | réf. annonce : w101739185,Renault,Megane 4,Berline,A,72542.0,Diesel,Auto,Rouge metal,5.0,5.0,2017,3,5.0,110,2.0,18760
Renault captur,Réf. pro : 52 | réf. annonce : w101726845,Renault,Captur,Suv 4x4,A,93220.0,Diesel,Auto,Noir metal,5.0,5.0,2016,3,4.0,90,2.0,11760
Renault captur,Réf. pro : 20013 | réf. annonce : e105871768,Renault,Captur,Suv 4x4,C,26851.0,Essence,Manuelle,Gris,5.0,5.0,2019,5.4,8.0,150,1.0,16620
Renault clio 4,Réf. pro : 27 | réf. annonce : w101724658,Renault,Clio 4,Citadine,B,118786.0,Diesel,Manuelle,Marron metal,5.0,5.0,2017,4,5.0,90,2.0,11680
Renault clio 5,Réf. pro : 13 | réf. annonce : w101723553,Renault,Clio 5,Citadine,B,11.0,Diesel,Manuelle,Rouge nacre,5.0,5.0,2020,4,5.0,90,2.0,19690
Renault talisman,Réf. annonce : w101722259,Renault,Talisman,Berline,B,56404.0,Diesel,Auto,Marron metal,4.0,5.0,2019,4,8.0,161,2.0,25350
Renault espace 4,Réf. annonce : w101742055,Renault,Espace 4,Monospace,D,106560.0,Diesel,Manuelle,Gris metal,5.0,7.0,2014,5.6,10.0,173,2.0,15920
Renault kadjar,Réf. pro : 74 | réf. annonce : w101732058,Renault,Kadjar,Suv 4x4,A,126003.0,Diesel,Manuelle,Gris foncé metal,5.0,5.0,2017,3,5.0,110,2.0,13640
Renault scenic 4,Réf. pro : 5 | réf. annonce : w101722962,Renault,Scenic 4,Monospace,B,40591.0,Diesel,Manuelle,Orange metal,5.0,5.0,2018,4,7.0,131,2.0,19420
Renault clio 5,Réf. pro : 78546 | réf. annonce : w101730548,Renault,Clio 5,Citadine,A,90.0,Essence,Manuelle,Orange metal,5.0,5.0,2020,4,5.0,101,1.0,19870
Renault twingo 2 rs,Réf. annonce : b100948329,Renault,Twingo 2 rs,Citadine,D,61500.0,Essence,Manuelle,Bleu clair metal,3.0,4.0,2011,6,8.0,133,2.0,12280
Renault clio 5,Réf. annonce : w101664949,Renault,Clio 5,Citadine,A,35.0,Essence,Manuelle,Gris clair metal,5.0,5.0,2020,4,5.0,101,1.0,20040
Renault clio 4,Réf. annonce : w101730707,Renault,Clio 4,Citadine,B,32961.0,Diesel,Manuelle,Gris anthracite metal,5.0,5.0,2019,4,5.0,90,2.0,17480
Renault talisman,Réf. pro : 105vo017041 | réf. annonce : e106491007,Renault,Talisman,Berline,C,55557.0,Essence,Auto,Marron,4.0,5.0,2016,5.8,11.0,200,1.0,23430
Renault koleos 2,Réf. annonce : w101738529,Renault,Koleos 2,Suv 4x4,C,113851.0,Diesel,Manuelle,Bleu marine metal,5.0,5.0,2018,4,7.0,131,2.0,19370
Renault captur,Réf. pro : 11431723 | réf. annonce : e106267703,Renault,Captur,Suv 4x4,C,11.0,Essence,Manuelle,Gris,5.0,5.0,2020,5.6,7.0,130,1.0,19170
Renault captur,Réf. pro : ew447re | réf. annonce : w101740262,Renault,Captur,Suv 4x4,B,42710.0,Diesel,Auto,Noir metal,5.0,5.0,2019,3,4.0,90,2.0,20620
Renault clio 4,Réf. pro : 105vo006986 | réf. annonce : e106488669,Renault,Clio 4,Citadine,A,21989.0,Diesel,Manuelle,Blanc,5.0,5.0,2019,4,4.0,75,2.0,13390
Renault clio 5,Réf. pro : 480 | réf. annonce : w101742494,Renault,Clio 5,Citadine,A,1650.0,Essence,Manuelle,Rouge nacre,5.0,5.0,2020,4.4,5.0,100,1.0,17580
Renault clio 5,Réf. pro : 216x60h | réf. annonce : e106524106,Renault,Clio 5,Citadine,A,11.0,Essence,Manuelle,Titane,5.0,5.0,2020,4.4,5.0,101,1.0,15880
