nom,ref,marque,modele,categorie,co2,nb_km,carburant,boite_vitesse,couleur,nb_portes,nb_places,mise_circulation,conso_mixte,p_fiscale,p_din,critair,prix
Citroën berlingo,12003754203453,Citroën,Berlingo,Monospace,B,5082,Essence,Manuelle,Gris acier,5,5,2019,5.4,6,110,1,21366
Citroën berlingo,12003754203473,Citroën,Berlingo,Monospace,B,8520,Essence,Manuelle,Gris acier,5,5,2019,5.4,6,110,1,21162
Citroën berlingo,12004278203822,Citroën,Berlingo,Monospace,B,10520,Essence,Manuelle,Gris platinium,5,5,2019,5.4,6,110,1,19836
Citroën c1,12001202195896,Citroën,C1,Citadine,A,7095,Essence,Manuelle,Bleu calvi,5,4,2019,3.7,3,72,1,11676
Citroën c1,12002352195900,Citroën,C1,Citadine,A,7647,Essence,Manuelle,Noir caldéra,5,4,2019,3.7,4,72,1,11676
Citroën c1,12001202195901,Citroën,C1,Citadine,A,9674,Essence,Manuelle,Bleu calvi,5,4,2019,3.7,3,72,1,11472
Citroën c1,12001202195912,Citroën,C1,Citadine,A,9506,Essence,Manuelle,Bleu calvi,5,4,2019,3.7,3,72,1,11472
Citroën c1,12001202195913,Citroën,C1,Citadine,A,9474,Essence,Manuelle,Bleu calvi,5,4,2019,3.7,3,72,1,11472
Citroën c3,11910023190807,Citroën,C3,Citadine,B,19578,Essence,Auto,Orange power,5,5,2019,0.0,6,110,1,17082
Citroën c3,11910023190811,Citroën,C3,Citadine,B,14399,Essence,Auto,Orange power,5,5,2019,0.0,6,110,1,17592
Citroën c3,12000351194105,Citroën,C3,Citadine,B,13751,Essence,Manuelle,Gris platinium,5,5,2019,0.0,4,82,1,14736
Citroën c3,11910171195521,Citroën,C3,Citadine,B,16344,Essence,Manuelle,Cobalt blue,5,5,2018,4.7,4,82,1,13206
Citroën c3,11910171195524,Citroën,C3,Citadine,B,10470,Essence,Manuelle,Noir perla nera,5,5,2018,4.7,4,82,1,13818
Citroën c3,12001340196116,Citroën,C3,Citadine,B,9366,Essence,Manuelle,Gris acier,5,5,2019,4.8,4,68,1,14226
Citroën c3,12001221196540,Citroën,C3,Citadine,B,8296,Essence,Manuelle,Rouge rubi,5,5,2019,0.0,4,82,1,14532
Citroën c3,12001221196545,Citroën,C3,Citadine,B,8301,Essence,Manuelle,Gris platinium,5,5,2019,0.0,4,82,1,14532
Citroën c3,12001221196546,Citroën,C3,Citadine,B,8803,Essence,Manuelle,Rouge rubi,5,5,2019,0.0,4,82,1,14532
Citroën c3,12001221196547,Citroën,C3,Citadine,B,9389,Essence,Manuelle,Gris platinium,5,5,2019,0.0,4,82,1,14226
Citroën c3,12001221196549,Citroën,C3,Citadine,B,9367,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14226
Citroën c3,12001221196550,Citroën,C3,Citadine,B,9389,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14226
Citroën c3,12001221196552,Citroën,C3,Citadine,B,9435,Essence,Manuelle,Rouge rubi,5,5,2019,0.0,4,82,1,14226
Citroën c3,12001221196553,Citroën,C3,Citadine,B,9473,Essence,Manuelle,Gris platinium,5,5,2019,0.0,4,82,1,14226
Citroën c3,12001221196554,Citroën,C3,Citadine,B,9571,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14226
Citroën c3,12001221196555,Citroën,C3,Citadine,B,9789,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14226
Citroën c3,12001221196556,Citroën,C3,Citadine,B,9884,Essence,Manuelle,Gris platinium,5,5,2019,0.0,4,82,1,14226
Citroën c3,12001221196558,Citroën,C3,Citadine,B,9959,Essence,Manuelle,Rouge rubi,5,5,2019,0.0,4,82,1,14226
Citroën c3,12001221196559,Citroën,C3,Citadine,B,10079,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14226
Citroën c3,12001221196560,Citroën,C3,Citadine,B,10251,Essence,Manuelle,Rouge rubi,5,5,2019,0.0,4,82,1,14124
Citroën c3,12001221196562,Citroën,C3,Citadine,B,10348,Essence,Manuelle,Gris platinium,5,5,2019,0.0,4,82,1,14124
Citroën c3,12001221196563,Citroën,C3,Citadine,B,10363,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14124
Citroën c3,12001221196564,Citroën,C3,Citadine,B,10397,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14124
Citroën c3,12001221196565,Citroën,C3,Citadine,B,10426,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14124
Citroën c3,12001221196566,Citroën,C3,Citadine,B,10726,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14022
Citroën c3,12001221196567,Citroën,C3,Citadine,B,10874,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14022
Citroën c3,12001221196568,Citroën,C3,Citadine,B,10865,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,14022
Citroën c3,12001221196569,Citroën,C3,Citadine,B,10938,Essence,Manuelle,Gris platinium,5,5,2019,0.0,4,82,1,14022
Citroën c3,12001221196570,Citroën,C3,Citadine,B,12091,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,13716
Citroën c3,12001221196571,Citroën,C3,Citadine,B,11961,Essence,Manuelle,Rouge rubi,5,5,2019,0.0,4,82,1,13716
Citroën c3,12001221196572,Citroën,C3,Citadine,B,12167,Essence,Manuelle,Gris artense,5,5,2019,0.0,4,82,1,13716
Citroën c3,11910083197496,Citroën,C3,Citadine,B,18543,Essence,Manuelle,Almond green,5,5,2018,4.7,4,82,1,13206
Citroën c3,11908109197500,Citroën,C3,Citadine,B,22469,Essence,Manuelle,Cobalt blue,5,5,2018,4.7,4,82,1,13206
Citroën c3,11910171197504,Citroën,C3,Citadine,B,18383,Essence,Manuelle,Noir perla nera,5,5,2018,4.7,4,82,1,13206
Citroën c3,11910173197506,Citroën,C3,Citadine,B,33920,Essence,Manuelle,Almond green,5,5,2018,4.7,4,82,1,12696
Citroën c3,11910173197507,Citroën,C3,Citadine,B,15995,Essence,Manuelle,Almond green,5,5,2018,4.7,4,82,1,13206
Citroën c3,12002053197509,Citroën,C3,Citadine,B,7094,Essence,Manuelle,Noir perla nera,5,5,2018,4.7,4,82,1,14226
Citroën c3,12000064197510,Citroën,C3,Citadine,B,12436,Essence,Manuelle,Blanc banquise,5,5,2018,4.7,4,82,1,13716
Citroën c3,12002479198917,Citroën,C3,Citadine,B,11502,Essence,Manuelle,Gris acier / toit noir,5,5,2019,0.0,4,82,1,14940
Citroën c3,12002508199236,Citroën,C3,Berline,A,6810,Essence,Manuelle,Rouge rubi,5,5,2019,0.0,4,82,1,15756
Citroën c3,12002704199583,Citroën,C3,Citadine,A,5017,Essence,Manuelle,Gris platinium,5,5,2019,0.0,4,82,1,15756
Citroën c3,12002710199588,Citroën,C3,Citadine,B,6982,Essence,Manuelle,Gris platinium,5,5,2019,0.0,4,82,1,16266
Citroën c3,12002891199816,Citroën,C3,Citadine,A,25197,Diesel,Manuelle,Rouge rubi,5,5,2019,3.4,5,102,2,15756
Citroën c3,12003670202533,Citroën,C3,Citadine,A,7457,Diesel,Manuelle,Gris acier,5,5,2019,3.4,5,102,2,16776
Citroën c3,12003676202537,Citroën,C3,Citadine,A,23517,Diesel,Manuelle,Gris platinium,5,5,2019,3.4,5,102,2,16266
Citroën c3,12003670202950,Citroën,C3,Citadine,A,5985,Diesel,Manuelle,Gris acier,5,5,2019,3.4,5,102,2,16980
Citroën c3,10590519091059051909,Citroën,C3,Berline,B,10,Essence,Manuelle,Platine,5,5,2020,0.0,4,82,1,15728
Citroën c3,12591662341259166234,Citroën,C3,Berline,B,10,Essence,Manuelle,Blanc,5,5,2020,0.0,4,82,1,15728
Citroën c3,13911547521391154752,Citroën,C3,Berline,B,10,Essence,Manuelle,Blanc,5,5,2020,0.0,4,82,1,15728
Citroën c3,14959561301495956130,Citroën,C3,Berline,B,10,Essence,Manuelle,Platine,5,5,2020,0.0,4,82,1,15728
Citroën c3 aircross,11910254191099,Citroën,C3 aircross,Suv 4x4,B,12908,Essence,Manuelle,Breathing blue / toit ink black,5,5,2019,4.8,5,110,1,17796
Citroën c3 aircross,11910254191101,Citroën,C3 aircross,Suv 4x4,B,14393,Essence,Manuelle,Breathing blue / toit ink black,5,5,2019,4.8,5,110,1,17694
Citroën c3 aircross,11910254191102,Citroën,C3 aircross,Suv 4x4,B,14506,Essence,Manuelle,Breathing blue / toit ink black,5,5,2019,4.8,5,110,1,17694
Citroën c3 aircross,12000557196802,Citroën,C3 aircross,Suv 4x4,B,15064,Essence,Manuelle,Spicy orange,5,5,2019,4.8,5,110,1,16266
Citroën c3 aircross,12000557196803,Citroën,C3 aircross,Suv 4x4,B,15171,Essence,Manuelle,Breathing blue,5,5,2019,4.8,5,110,1,16266
